------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
59          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 1.024887500000000e+02 -9.784661360746110e-01 -5.630573752887542e-01 -4.097329962160478e+00 -4.208007235958220e+00  2.921648728409101e+00       22
 1.050725000000000e+02 -1.165023025224090e+00 -5.362161277021247e-01 -4.675062458123227e+00 -4.569170875206909e+00  2.806436451418713e+00       23
 1.076562500000000e+02 -1.399078469071741e+00 -5.090266310742074e-01 -5.336731819262205e+00 -4.904918070808812e+00  2.699916842086702e+00       24
 1.102400000000000e+02 -1.646302134005180e+00 -4.818502652429058e-01 -6.020569236003824e+00 -5.233773899891927e+00  2.595144547041216e+00       24
 1.128237500000000e+02 -1.938933530170740e+00 -4.547191780927331e-01 -6.780848345528826e+00 -5.538866358306488e+00  2.496397483269084e+00       25
 1.154075000000000e+02 -2.257218380483886e+00 -4.276673915335746e-01 -7.583554161712463e+00 -5.829979265387006e+00  2.399703690559306e+00       25
 1.179912500000000e+02 -2.616708574791333e+00 -4.007429799514029e-01 -8.454407020877397e+00 -6.098637799723366e+00  2.306307923134975e+00       26
 1.205750000000000e+02 -3.017706374478351e+00 -3.734807662483965e-01 -9.398608000423705e+00 -6.334381609467551e+00  2.212190344487879e+00       26
 1.231587500000000e+02 -3.453378679839505e+00 -3.459363603676315e-01 -1.040408232477257e+01 -6.542629209921961e+00  2.117469781228433e+00       27
 1.257425000000000e+02 -3.951451377335227e+00 -3.157790582442313e-01 -1.153189731953965e+01 -6.628894968359786e+00  2.009230800958799e+00       27
 1.283262500000000e+02 -4.475013061249271e+00 -2.845544539042458e-01 -1.270968539268055e+01 -6.665334220776019e+00  1.895469888281644e+00       28
 1.309100000000000e+02 -5.089027290907675e+00 -2.406658044361684e-01 -1.417501052336790e+01 -6.536068606345038e+00  1.712610230759713e+00       28
 1.329770000000000e+02 -5.589844241628199e+00 -2.042100323438547e-01 -1.537780549508746e+01 -6.415059161761492e+00  1.558984594931760e+00       29
 1.350440000000000e+02 -6.183260496636237e+00 -1.331104631097393e-01 -1.619242678875983e+01 -5.836840089525523e+00  1.095208621266503e+00       29
 1.357330000000000e+02 -6.386801352318017e+00 -1.072648310961092e-01 -1.643992442801218e+01 -5.615781642030802e+00  9.214064659498793e-01       30
 1.364220000000000e+02 -6.590342207999797e+00 -8.141919908247899e-02 -1.668742206726454e+01 -5.394723194536081e+00  7.476043106332553e-01       30
 1.371110000000000e+02 -6.793883063681576e+00 -5.557356706884883e-02 -1.693491970651689e+01 -5.173664747041359e+00  5.738021553166313e-01       30
 1.378000000000000e+02 -6.997423919363364e+00 -2.972793505521761e-02 -1.718241734576926e+01 -4.952606299546629e+00  4.000000000000000e-01       30
